| 2017-01-01 - 07:09:07 | LyndonJohnson | view | Main.WebHome | 392441| 22.169.249.196 | 
| 2017-01-01 - 07:16:31 | BillGates | view | Main.WebHome | 481419| 134.252.223.163 | 
| 2017-01-01 - 07:16:42 | BarackObama | view | Main.TWikiPreferences | 726187| 33.225.203.12 | 
| 2017-01-01 - 07:24:08 | WinstonChurchill | view | TWiki.TWikiPreferences | 823185| 205.145.74.179 | 
| 2017-01-01 - 07:24:59 | QueenVictoria | view | TWiki.ManagingWebs | 67444| 16.55.85.78 | 
| 2017-01-01 - 07:40:42 | JohnmKeynes | view | Main.WebHome | 448349| 70.179.225.130 | 
| 2017-01-01 - 07:44:02 | LyndonJohnson | view | Fullgc.WebHome | 319866| 218.204.239.49 | 
| 2017-01-01 - 08:03:48 | WinstonChurchill | edit | Fullgc.WebHome | 233513| 196.120.114.40 | 
| 2017-01-01 - 08:04:57 | DesmondTutu | view | Fullgc.WebHome | 873596| 214.201.160.138 | 
| 2017-01-01 - 08:05:14 | BarackObama | view | Fullgc.WorkLog | 942063| 126.151.115.233 | 
| 2017-01-01 - 08:06:01 | ThomasEdison | view | Fullgc.WorkLog | 238907| 230.224.91.125 | 
| 2017-01-01 - 08:07:01 | DalaiLama | edit | Fullgc.WorkLog | 166680| 110.159.161.37 | 
| 2017-01-01 - 08:15:13 | DesmondTutu | edit | Fullgc.WorkLog | 896146| 175.94.49.1 | 
| 2017-01-01 - 08:21:29 | LeonardodaVinci | save | Fullgc.WorkLog | 142157| 16.55.85.78 | 
| 2017-01-01 - 08:23:14 | ThomasEdison | view | Fullgc.WorkLog | 707604| 16.103.177.88 | 
| 2017-01-01 - 08:39:16 | DonaldTrump | edit | Fullgc.WorkLog | 855164| 78.17.220.16 | 
| 2017-01-01 - 08:57:25 | LeoTolstoy | save | Fullgc.WorkLog | 431214| 167.168.155.71 | 
| 2017-01-01 - 08:58:40 | MargaretThatcher | view | Fullgc.WorkLog | 589302| 32.85.172.240 | 
| 2017-01-01 - 08:59:22 | JawaharlalNehru | edit | Fullgc.WorkLog | 573678| 156.150.62.140 | 
| 2017-01-01 - 09:03:11 | NeilArmstrong | save | Fullgc.WorkLog | 596539| 51.45.54.112 | 
| 2017-01-01 - 09:05:24 | JkRowling | view | Fullgc.WorkLog | 515268| 187.111.185.36 | 
| 2017-01-01 - 09:12:54 | JawaharlalNehru | view | Fullgc.BlogEntryOne | 760316| 60.183.111.133 | 
| 2017-01-01 - 09:21:18 | FranklindRoosevelt | view | Fullgc.BlogEntryOne | 841416| 121.85.206.113 | 
| 2017-01-01 - 09:23:18 | AlbertEinstein | edit | Fullgc.BlogEntryOne | 748625| 174.83.110.251 | 
| 2017-01-01 - 09:27:08 | JawaharlalNehru | save | Fullgc.BlogEntryOne | 475502| 15.62.139.8 | 
| 2017-01-01 - 09:36:45 | LudwigBeethoven | view | Fullgc.BlogEntryOne | 752499| 198.134.227.121 | 
| 2017-01-01 - 09:45:41 | JohnmKeynes | edit | Fullgc.BlogEntryOne | 40633| 162.133.74.55 | 
| 2017-01-01 - 09:46:39 | DesmondTutu | save | Fullgc.BlogEntryOne | 380693| 221.65.132.105 | 
| 2017-01-01 - 09:48:49 | JkRowling | view | Fullgc.BlogEntryOne | 900001| 167.168.155.71 | 
| 2017-01-01 - 09:50:16 | VincentvanGogh | view | Fullgc.WebHome | 22502| 9.33.134.12 | 
| 2017-01-01 - 09:50:53 | AungsansuuKyi | view | Fullgc.InstallationLogs | 198851| 214.125.108.52 | 
| 2017-01-01 - 09:53:40 | ThomasEdison | view | Fullgc.InstallationLogs | 464326| 118.153.123.48 | 
| 2017-01-01 - 09:57:56 | BarackObama | edit | Fullgc.InstallationLogs | 313432| 245.25.216.154 | 
| 2017-01-01 - 09:58:20 | JawaharlalNehru | save | Fullgc.InstallationLogs | 589619| 134.252.223.163 | 
| 2017-01-01 - 10:23:45 | MuhammadAli | view | Fullgc.InstallationLogs | 297717| 150.63.20.81 | 
| 2017-01-01 - 10:29:00 | JawaharlalNehru | edit | Fullgc.InstallationLogs | 925527| 196.120.114.40 | 
| 2017-01-01 - 10:46:53 | CharlesDarwin | save | Fullgc.InstallationLogs | 224857| 51.159.201.179 | 
| 2017-01-01 - 10:52:32 | RichardBranson | view | Fullgc.InstallationLogs | 869721| 178.72.145.177 | 
| 2017-01-01 - 10:58:50 | LudwigBeethoven | view | Fullgc.WebHome | 995166| 78.17.220.16 | 
| 2017-01-01 - 11:09:19 | LeoTolstoy | view | Fullgc.WorkLog | 811556| 203.25.30.232 | 
| 2017-01-01 - 11:11:00 | LouisPasteur | edit | Fullgc.WorkLog | 501338| 70.152.195.24 | 
| 2017-01-01 - 11:11:35 | LeonardodaVinci | save | Fullgc.WorkLog | 705091| 10.253.197.69 | 
| 2017-01-01 - 11:22:29 | MikhailGorbachev | view | Fullgc.WorkLog | 134735| 198.11.45.121 | 
| 2017-01-01 - 11:24:49 | MahatmaGandhi | view | Main.WebHome | 45088| 70.179.225.130 | 
